intelligence_record_id,brand,source,source_url,brand_description,tagline,parent_company,country_of_origin,collected_at
wiki-0001,Skechers,wikipedia,https://en.wikipedia.org/wiki/Skechers,"Skechers U.S.A., Inc. is an American multinational footwear and apparel manufacturing company. Founded in 1992, it is headquartered in Manhattan Beach, California, and is the third largest footwear brand in the world.",,,United States,2026-09-19T12:42:32+00:00
wiki-0002,Adidas,wikipedia,https://en.wikipedia.org/wiki/Adidas,"Adidas AG (German pronunciation: [ˈadiˌdas] ; styled as adidas since 1949) is a German multinational athletic apparel and footwear corporation headquartered in Herzogenaurach, Germany. It is the largest sportswear manufacturer in Europe, and the second largest in the world, after Nike. It is the holding company for the Adidas Group, which also owns an 8.33% stake in the football club Bayern Munich, and Runtastictrian fitness technology company. Adidas's revenue for 2024 was listed at €23 billion. Adidas is known for its brand image, extensive long origin history for participating in sponsoring athletes, and  gear in the FIFA World Cup series. The brand is also recognized for performance innovation of their shoes with ties within sports culture and durability with their focus of sport shoes, clothing, backpacks, and other accessories.
The company was started by Adolf Dassler in his mother's house. He was joined by his elder brother Rudolf in 1924 under the name Gebrüder Dassler Schuhfabrik (""Dassler Brothers Shoe Factory""). Dassler assisted in the development of spiked running shoes (spikes) for multiple athletic events. To enhance the quality of spiked athletic footwear, he transitioned from a previous model of heavy metal spikes to utilising canvas and rubber. Dassler persuaded U.S. sprinter Jesse Owens to use his handmade spikes at the 1936 Summer Olympics. In 1949, following a breakdown in the relationship between the brothers, Adolf created Adidas and Rudolf established P",,,,2026-09-19T12:42:32+00:00
wiki-0003,New Balance,wikipedia,https://en.wikipedia.org/wiki/New_Balance,"New Balance Athletics, Inc. (NB), doing business as New Balance, is an American multinational footwear and apparel corporation. Based in Boston, Massachusetts, New Balance was founded in 1906 as the New Balance Arch Support Company.
New Balance maintains a manufacturing presence in the United States, as well as in the United Kingdom for the European market, where it produces some of its popular models. New Balance claims to differentiate its products with technical features, such as blended gel inserts, heel counters and a greater selection of sizes, particularly for very narrow or very wide widths. The company is privately held and totaled $6.5 billion in revenue in 2023.",,,,2026-09-19T12:42:32+00:00
wiki-0004,Clarks,wikipedia,https://en.wikipedia.org/wiki/Clarks_(shoe_retailer),"C. & J. Clark International Limited (trading as Clarks) is a British footwear manufacturer and retailer founded in 1825 by Cyrus Clark in Street, Somerset, where its headquarters remain. As of October 2023, the brand has 320 stores in the United Kingdom and Ireland, and hundreds of franchises located in the Americas, Europe and the Asia Pacific. The company also sells through third-party distribution.
The Clarks brand is best known for its Desert Boot and Wallabee shoes, as well as its collection of school shoes, particularly for children aged 4–12 years.
Clarks manufactured its products in the United Kingdom until 2005, when it began moving some production to the Far East. The company closed its last domestic factory in 2019 as it reported a £84.4 million loss. In November 2020, it was announced that Clarks would be rescued by the Hong Kong-based private equity firm LionRock Capital, and would enter a company voluntary arrangement. The deal meant the company would be out of the Clark family's control for the first time in its history. In February 2023, LionRock Capital sold its remaining indirect stake in Clarks to Viva China Holdings Limited.",,,,2026-09-19T12:42:32+00:00
wiki-0005,Nike,wikipedia,"https://en.wikipedia.org/wiki/Nike,_Inc.","Nike, Inc. is an American athletic footwear and apparel corporation headquartered near Beaverton, Oregon. It is the world's largest supplier of athletic shoes and apparel and a major manufacturer of sports equipment, with revenue in excess of US$46 billion in its fiscal year 2022.
The company was founded on January 25, 1964, as ""Blue Ribbon Sports"", by Bill Bowerman and Phil Knight, and officially became Nike, Inc. on May 30, 1971. The company takes its name from Nike, the Greek goddess of victory. Nike markets its products under its own brand, as well as Nike Golf, Nike Pro, Nike+, Nike Blazers, Air Force 1, Nike Dunk, Air Max, Foamposite, Nike Skateboarding and Nike CR7. The company also sells products under its Air Jordan brand and its Converse subsidiary. Nike also owned Bauer Hockey from 1995 to 2008, and previously owned Cole Haan, Umbro, and Hurley International. In addition to manufacturing sportswear and equipment, the company operates retail stores under the Niketown name. Nike sponsors many high-profile athletes and sports teams around the world, with the highly recognized trademarks of ""Just Do It"" and the Swoosh logo.
As of 2024, it employed 83,700 people worldwide. In 2020, the brand alone was valued in excess of $32 billion, making it the most valuable brand among sports businesses. Previously, in 2017, the Nike brand was valued at $29.6 billion. Nike ranked 89th in the 2018 Fortune 500 list of the largest United States corporations by revenue. The company rank",Just do it,,United States,2026-09-19T12:42:32+00:00
wiki-0006,Puma,wikipedia,https://en.wikipedia.org/wiki/Puma_(brand),"Puma SE is a German athletic apparel and footwear corporation headquartered in Herzogenaurach, Bavaria, Germany. Puma is the third largest sportswear manufacturer in the world. 
The company was founded in 1948 by Rudolf Dassler (1898–1974). In 1924, Rudolf and his brother Adolf ""Adi"" Dassler had jointly formed the company Gebrüder Dassler Schuhfabrik ('Dassler Brothers Shoe Factory'). The relationship between the two brothers deteriorated until they agreed to split in 1948, forming two separate entities, Adidas and Puma. Following the split, Rudolf originally registered the newly established company as Ruda (derived from Rudolf Dassler, as Adidas was based on Adi Dassler), but later changed the name to Puma. Puma's earliest logo consisted of a square and beast jumping through a D, which was registered, along with the company's name, in 1948. Puma's shoe and clothing designs feature the Puma logo and the distinctive ""Formstrip"" which was introduced in 1958.
As of 2022, Puma is operational in over 120 countries worldwide.",,,,2026-09-19T12:42:32+00:00
wiki-0007,ASICS,wikipedia,https://en.wikipedia.org/wiki/Asics,"ASICS Corporation (Japanese: 株式会社アシックス, Hepburn: Kabushiki gaisha Ashikkusu), commonly known as Asics (,  or ), is a Japanese multinational sportswear company headquartered in Kobe, Hyōgo Prefecture. It manufactures athletic and lifestyle footwear, apparel and sports equipment, and is particularly known for its running shoes. Performance Running is its largest product category; its other businesses include Core Performance Sports, SportStyle, apparel, walking shoes and the Onitsuka Tiger brand.
The company traces its origins to a sporting-shoe business established by Kihachiro Onitsuka in Kobe in 1949. Onitsuka Co., Ltd. merged with GTO Co., Ltd. and Jelenk Co., Ltd. in 1977 to form ASICS Corporation. The name is an acronym of the Latin phrase anima sana in corpore sano, which the company renders as ""a sound mind in a sound body"". The company conducts sports-science research and product development through the ASICS Institute of Sport Science in Kobe, including research underlying products such as the METASPEED racing-shoe series. Its early U.S. distributor, Blue Ribbon Sports, later became Nike, Inc.
In fiscal year 2025, Asics reported net sales of ¥810.9 billion, operating profit of ¥142.5 billion and profit attributable to owners of the parent of ¥98.7 billion, all record highs.",,,Japan,2026-09-19T12:42:32+00:00
wiki-0008,Merrell,wikipedia,https://en.wikipedia.org/wiki/Merrell_(company),"Merrell is an American manufacturing company of footwear products. It was founded by Clark Matis, Randy Merrell, and John Schweizer in 1981 as a maker of high-performance hiking boots. Since 1997, the company has been a wholly owned subsidiary of Wolverine World Wide. Products currently commercialized by Merrell include hiking boots, athletic shoes, sandals, jackets, knit caps, gloves, t-shirts, hoodies, shorts, and socks. Other accessories include backpacks, stuff sacks, and bags.",,,,2026-09-19T12:42:32+00:00
wiki-0009,Crocs,wikipedia,https://en.wikipedia.org/wiki/Crocs,"Crocs, Inc. is an American footwear company based in Broomfield, Colorado which manufactures and markets the Crocs brand of foam footwear. Crocs, Inc. terms these ""clogs,"" but they do not contain wood like traditional clogs. In 2021, they acquired the Italian footwear brand HEYDUDE for $2.5 billion. In 2025, Crocs revenue stood at $3.3 billion, an increase of 1.5% from the previous year.",,,,2026-09-19T12:42:32+00:00
wiki-0010,Reebok,wikipedia,https://en.wikipedia.org/wiki/Reebok,"Reebok International Limited ( REE-bok) is an American apparel, accessories and sports equipment brand that is a part of Authentic Brands Group.  Since its acquisition by Authentic in 2022, Reebok has re-entered performance sport and meaningfully expanded its Classics and lifestyle lines. Reebok is one of the largest sports brands worldwide, generating $5B in annual retail sales. It was established in England in 1958 as a companion company to J.W. Foster and Sons, a sporting goods company which had been founded in 1895 in Bolton, Lancashire. From 1958 until 1986, the brand featured the flag of the United Kingdom in its logo to signify the origins of the company. It was bought by German sporting goods company Adidas in 2005, then sold to the United States–based Authentic Brands Group in 2021. The company's global headquarters are located in Boston, Massachusetts, in the Seaport District.
Reebok's European headquarters are located in London. Reebok's parent company, Authentic Brands Group, is headquartered in New York City, with additional offices in London, Los Angeles, Miami, Mexico, Shanghai, and Seoul.",,Adidas AG,United States,2026-09-19T12:42:32+00:00
